trade_id,symbol,side,entry_time,exit_time,entry_fr,entry_collect_fr,exit_fr,hold_settlements,gross_pct,cost_rt_pct,net_pct,gross_dollar,cost_dollar,net_dollar,cost_tier,gap_closed
ARPAUSDT_20220125000000,ARPAUSDT,long_spot_short_futures,2022-01-25 00:00:00+00:00,2022-01-25 08:00:00+00:00,-0.075148,0.005379,0.005379,1,0.005379,0.08,-0.074621,0.016137,0.24000000000000002,-0.22386300000000003,low,False
CTSIUSDT_20220123080000,CTSIUSDT,long_spot_short_futures,2022-01-23 08:00:00.010000+00:00,2022-01-25 08:00:00+00:00,-0.121404,-0.03503,-0.002433,6,0.28893100000000005,0.08,0.20893100000000003,0.8667930000000001,0.24000000000000002,0.6267930000000002,low,False
SANDUSDT_20220125080000,SANDUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-25 16:00:00.012000+00:00,-0.055506999999999994,-0.0019749999999999998,-0.0019749999999999998,1,0.0019749999999999998,0.08,-0.078025,0.005925,0.24000000000000002,-0.234075,low,False
COTIUSDT_20220125080000,COTIUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-25 16:00:00.012000+00:00,-0.055602,0.00295,0.00295,1,0.00295,0.08,-0.07705000000000001,0.00885,0.24000000000000002,-0.23115,low,False
CRVUSDT_20220125080000,CRVUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-25 16:00:00.012000+00:00,-0.063569,-0.009608,-0.009608,1,0.009608,0.08,-0.070392,0.028824,0.24000000000000002,-0.21117599999999997,low,False
1INCHUSDT_20220122080000,1INCHUSDT,long_spot_short_futures,2022-01-22 08:00:00.003000+00:00,2022-01-25 16:00:00.012000+00:00,-0.052099000000000006,-0.037063,-0.009535,10,0.36369200000000007,0.08,0.28369200000000006,1.0910760000000002,0.24000000000000002,0.8510760000000002,low,False
ONEUSDT_20220123080000,ONEUSDT,long_spot_short_futures,2022-01-23 08:00:00.010000+00:00,2022-01-26 00:00:00+00:00,-0.073221,-0.09582800000000001,-0.013643999999999998,8,1.3354190000000001,0.08,1.255419,4.006257000000001,0.24000000000000002,3.766257,low,False
C98USDT_20220126160000,C98USDT,long_spot_short_futures,2022-01-26 16:00:00.005000+00:00,2022-01-27 00:00:00.004000+00:00,-0.077927,0.007945,0.007945,1,0.007945,0.08,-0.07205500000000001,0.023835000000000002,0.24000000000000002,-0.216165,low,False
SANDUSDT_20220127000000,SANDUSDT,long_spot_short_futures,2022-01-27 00:00:00.004000+00:00,2022-01-27 08:00:00.004000+00:00,-0.053425,-0.009193,-0.009193,1,0.009193,0.08,-0.07080700000000001,0.027579,0.24000000000000002,-0.21242100000000003,low,False
THETAUSDT_20220125080000,THETAUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-27 08:00:00.004000+00:00,-0.055288,-0.021311999999999998,-0.019777,6,0.241927,0.08,0.161927,0.7257809999999999,0.24000000000000002,0.48578099999999996,low,False
